net,length_um
_043_,95.52
_053_,86.62
_046_,79.43
_059_,78.56
_039_,76.56
net17,50.38
net40,48.11
_047_,44.26
_062_,43.66
_064_,40.75
cin,40.59
net9,37.54
net1,36.62
a[0],36.09
_010_,34.5
net2,30.5
net20,29.175
_028_,28.14
_067_,28.02
_040_,26.2
_089_,26.08
net24,25.74
_008_,25.21
_048_,25.145
net37,24.88
net19,23.48
net10,23.2
_065_,22.8
b[0],22.17
net8,22
net18,21.9
_087_,21.76
net16,21.7
net13,21.24
_056_,20.96
net7,19.9
b[1],19.75
net12,19.68
net23,19.6
_037_,19.58
_049_,19.04
_082_,18.84
net5,18.69
net14,18.62
_041_,18
b[2],17.31
net3,17.26
a[3],17.2
_063_,17.18
_025_,17.02
_068_,16.44
net29,16.14
b[3],15.82
a[1],15.27
_095_,15.1
b[7],15.08
a[6],14.92
net36,14.8
_000_,14.76
_003_,14.76
_024_,14.69
net4,14.64
a[7],14.16
net11,14.14
_023_,14.1
_054_,14.02
net6,13.92
_090_,13.74
alu2.result,13.42
alu4.result,13.42
_078_,13.3
_102_,13.255
_100_,13
_057_,12.92
a[5],12.87
result[0],12.6
_021_,11.98
result[1],11.87
net22,11.72
net15,11.56
_031_,11.5
net30,11.26
_050_,11.04
result[3],10.88
_016_,10.86
_015_,10.595
a[2],10.39
net32,10.28
_022_,10.18
_093_,10.12
_066_,10.045
_070_,9.94
_029_,9.655
net38,9.56
_098_,9.48
_104_,9.44
_094_,9.04
_011_,9.02
alu0.result,8.94
_088_,8.6
_042_,8.54
_103_,8.52
_052_,8.45
cout,8.38
result[7],8.38
alu7.result,7.98
_038_,7.96
_092_,7.72
_045_,7.64
_083_,7.64
a[4],7.49
_026_,7.4
alu5.result,7.28
_012_,7.18
b[5],7.13
_081_,7.1
_001_,7.06
net25,7.06
b[4],6.99
net35,6.98
op[2],6.77
_074_,6.72
_091_,6.5
op[0],6.4
_101_,6.3
_027_,5.86
result[5],5.84
_013_,5.68
_061_,5.68
alu6.result,5.68
_036_,5.46
_076_,5.27
_079_,5.14
net41,5.1
result[2],5.07
result[6],5.07
_086_,5.06
net31,4.92
_044_,4.88
net26,4.88
op[1],4.73
result[4],4.73
_033_,4.48
_071_,4.48
net33,4.36
_080_,4.22
_004_,4.14
_005_,3.99
b[6],3.93
_051_,3.9
_014_,3.88
_073_,3.74
_077_,3.56
_030_,3.54
_075_,3.54
_085_,3.54
net34,3.54
_096_,3.43
net21,3.42
_009_,3.08
_060_,3.08
_055_,2.97
net39,2.96
_017_,2.87
_034_,2.86
_058_,2.76
_099_,2.64
_019_,2.62
net28,2.52
_035_,2.5
_002_,2.18
_006_,2.16
_007_,2.16
_032_,2.16
_072_,2.045
alu3.result,2.04
net42,2.04
_018_,1.7
_097_,1.7
_084_,1.49
_020_,1.38
alu1.result,1.38
net27,1.14
_069_,0.8
